type,Label,ID,session,bias,bias_error,MgO,FeO,CaO,Cr2O3,MnO,Yield,Fo,R_Mg_Si
standard,OR-Ol,WISTD91 OROL5_4,1,0.609541408,0.261724156,29.07,34.16,0.036,0,0.6446704,1.543028038,0.602569839,8.43
standard,OR-Ol,WISTD91 OROL5_5,1,1.011701337,0.316553249,29.07,34.16,0.036,0,0.6446704,1.539924975,0.602569839,8.43
standard,OR-Ol,WISTD91 OROL5_6,1,0.694294757,0.316553249,29.07,34.16,0.036,0,0.6446704,1.549872971,0.602569839,8.43
standard,OR-Ol,WISTD91 OROL5_7,1,0.641756469,0.257541763,29.07,34.16,0.036,0,0.6446704,1.553563839,0.602569839,8.43
standard,SK-Ol,WI-STD-15 Skye-X_1,1,-1.139161865,0.308305163,56.58,0.23,0.054,0,0.0719015,1.808927357,0.999464599,8.45
standard,SK-Ol,WI-STD-15 Skye-V_1,1,-0.930956535,0.297521066,56.91,0.19,0.032,0,0.083432,1.80294708,0.999684496,8.43
standard,SK-Ol,WI-STD-15 Skye-W_1,1,-0.908115611,0.30668064,56.84,0.16,0.03,0,0.0723755,1.804965383,0.999703845,8.41
standard,SW-Ol,WISTD91 SWOL15_3,1,0.843805399,0.224196018,42.86,16.95,0,0,0.32,1.917502053,0.818349376,10.96
standard,SW-Ol,WISTD91 SWOL15_4,1,1.181798144,0.328440893,42.86,16.95,0,0,0.32,1.894385475,0.818349376,10.96
standard,SW-Ol,WISTD91 SWOL15_5,1,1.075675293,0.328440893,42.86,16.95,0,0,0.32,1.887031173,0.818349376,10.96
standard,SW-Ol,WISTD91 SWOL15_6,1,1.086738581,0.453822897,42.86,16.95,0,0,0.32,1.90615819,0.818349376,10.96
standard,SW-Ol,WISTD91 SWOL15_7,1,0.817644533,0.453822897,42.86,16.95,0,0,0.32,1.888663514,0.818349376,10.96
standard,SW-Ol,WISTD91 SWOL15_8,1,0.99779136,0.253244004,42.86,16.95,0,0,0.32,1.898737743,0.818349376,10.96
standard,UW-Ol,WISTD91 UWOL42_2,1,0.082040523,0.224196018,48.3028038,10.32,0.064,0,0.17,1.909325673,0.892921729,8.78
standard,UW-Ol,WISTD91 UWOL42_3,1,-0.105088333,0.266451367,48.3028038,10.32,0.064,0,0.17,1.919805304,0.892921729,8.78
standard,UW-Ol,WISTD91 UWOL42_4,1,-0.151388656,0.248229454,48.3028038,10.32,0.064,0,0.17,1.899368554,0.892921729,8.78
standard,UW-Ol,WISTD91 UWOL42_5,1,0.088109176,0.453822897,48.3028038,10.32,0.064,0,0.17,1.894879604,0.892921729,8.78
standard,UW-Ol,WISTD91 UWOL42_6,1,0.059277597,0.453822897,48.3028038,10.32,0.064,0,0.17,1.907682786,0.892921729,8.78
standard,WK-Ol,WISTD91 WKOL8_2,1,-0.15522212,0.28124559,51.35,6.13,0.132,0.2432792,0.4431096,1.919565022,0.937203623,9.22
